product_id;price;product;brand;unit_price;units;categories;discount;date
283970;1.99;BETIK plato cartón redondo kraft de 22 cm envase 20 uds;BETIK;0.1;€/ud.;['Cuidado del hogar', 'Bazar'];;2023-03-26
148433;1.0;CAMPOFRÍO chopped pork en lonchas sobre 95 gr;CAMPOFRÍO;10.53;€/Kg.;['Frescos', 'Charcutería y quesos', 'Cocidos'];;2023-03-26
274204;1.72;GRANJA RINYA queso fresco batido tarrina 400 gr;GRANJA RINYA;4.3;€/Kg.;['Frescos', 'Charcutería y quesos', 'Quesos'];;2023-03-26
204128;3.99;AS alimento para gatos senior bolsa 1.5 Kg;AS;2.66;€/Kg.;['Mascotas', 'Gatos'];;2023-03-26
273806;2.65;BARILLA espagueti nº 5 SIN GLUTEN caja 400 gr;BARILLA;6.63;€/Kg.;['Despensa', 'Pastas. harinas y masas', 'Pastas'];;2023-03-26
274784;1.75;DIA SUPER PACO quitagrasas cítrico pistola 750 ml;DIA SUPER PACO;2.33;€/l.;['Cuidado del hogar', 'Productos de limpieza', 'Cocina'];;2023-03-26
284386;1.25;DIA MARI MARINERA filetes de caballa del sur en aceite de oliva lata 85 gr;DIA MARI MARINERA;14.71;€/Kg.;['Despensa', 'Conservas', 'Conservas de pescado'];;2023-03-26
284683;15.15;GILLETTE Venus maquinilla confortglide spa breeze recambio blíster 4 uds;GILLETTE;3.79;€/ud.;['Cuidado personal', 'Depilación'];;2023-03-26
218237;2.9;NIVEA desodorante protege y cuida spray 200 ml;NIVEA;14.5;€/l.;['Cuidado personal', 'Baño e higiene personal', 'Desodorantes'];;2023-03-26
271494;1.0;DULCESOL tarta de manzana paquete 2 uds 135 gr;DULCESOL;7.41;€/Kg.;['Despensa', 'Desayunos y dulces', 'Bollería'];;2023-03-26
48733;2.08;SOS arroz integral paquete 1 Kg;SOS;2.08;€/Kg.;['Despensa', 'Arroz y legumbres', 'Arroz'];;2023-03-26
47702;2.49;REXONA Men desodorante cobalt blue spray 200 ml;REXONA;12.45;€/l.;['Cuidado personal', 'Baño e higiene personal', 'Desodorantes'];;2023-03-26
268320;1.59;NESTLE jardinera de ternera tarrito 190 gr;NESTLE;8.37;€/Kg.;['Bebé', 'Potitos y tarritos'];;2023-03-26
253810;1.85;DIA LACTEA kéfir natural botella 500 gr;DIA LACTEA;3.7;€/Kg.;['Despensa', 'Lácteos y huevos', 'Yogures'];;2023-03-26
151697;2.65;CRISTASOL limpiador multiusos pistola 750 ml;CRISTASOL;3.53;€/l.;['Cuidado del hogar', 'Productos de limpieza', 'Hogar'];;2023-03-26
224127;1.19;DIA masa fina para pizza rollo 260 gr;DIA;4.58;€/Kg.;['Despensa', 'Pastas. harinas y masas', 'Masas y hojaldres'];;2023-03-26
234196;1.89;HARIBO golosinas favoritos classic bolsa 150 gr;HARIBO;12.6;€/Kg.;['Despensa', 'Desayunos y dulces', 'Caramelos. chicles y golosinas'];50%;2023-03-26
181199;1.79;CALVO sardinillas en aceite de oliva baja en sal lata 60 g;CALVO;29.83;€/Kg.;['Despensa', 'Conservas', 'Conservas de pescado'];;2023-03-26
60518;3.35;COLGATE cepillo dental zig zag medio blíster 3 uds;COLGATE;1.12;€/ud.;['Cuidado personal', 'Cuidado bucal'];;2023-03-26
290890;2.99;GALLINA BLANCA caldo gourmet de pollo envase 2 x 1 lt;GALLINA BLANCA;1.5;€/l.;['Despensa', 'Sopas', 'Caldos'];;2023-03-26
139922;3.2;FONTANEDA galletas integrales MarieLu paquete 520 gr;FONTANEDA;6.15;€/Kg.;['Despensa', 'Desayunos y dulces', 'Galletas'];;2023-03-26
263592;0.95;DIA RAMBLERS cerveza lager botella plástico 1 lt;DIA RAMBLERS;0.95;€/l.;['Bebidas', 'Cervezas', 'Nacionales'];;2023-03-26
265211;4.29;PUNTOMATIC detergente máquina tricamara en cápsulas 18 uds;PUNTOMATIC;0.24;€/Lavado;['Cuidado del hogar', 'Cuidado de la ropa'];;2023-03-26
152211;2.15;NIVEA Men desodorante invisible for black & white roll on 50 ml;NIVEA;43.0;€/l.;['Cuidado personal', 'Baño e higiene personal', 'Desodorantes'];;2023-03-26
289548;1.85;LOTUS galleta caramelizada rellena de crema paquete 150 gr;LOTUS;12.33;€/Kg.;['Despensa', 'Desayunos y dulces', 'Galletas'];;2023-03-26
