date;product;product_id;brand;price;categories;unit_price;units;discount
2022-11-21;OLD EL PASO tortillas mexicanas SIN GLUTEN paquete 6 uds 216 gr;250632;OLD EL PASO;3.29;['Despensa', 'Cocina internacional', 'Mejicana'];15.23;€/Kg.;
2022-11-21;LOS SABORES DE LA ESTEBAN patatas fritas a la sartén bolsa 130 gr;278475;LOS SABORES DE LA ESTEBAN;1.65;['Despensa', 'Aperitivos'];12.69;€/Kg.;
2022-11-21;BONTE tampón con aplicador silk normal caja 20 uds;230731;BONTE;2.89;['Cuidado personal', 'Cuidado íntimo'];0.14;€/ud.;
2022-11-21;DIA GLADIADOR brandy de Jerez solera botella 70 cl;272367;DIA GLADIADOR;5.59;['Bodega', 'Alcoholes', 'Brandy'];7.99;€/l.;
2022-11-21;DIA RAMBLERS cerveza tostada lata 33 cl;280089;DIA RAMBLERS;0.55;['Bebidas', 'Cervezas', 'Especiales'];1.67;€/l.;
2022-11-21;CAREFREE protege slipss flexiform paquete 30 ud;50304;CAREFREE;2.09;['Cuidado personal', 'Cuidado íntimo'];0.07;€/ud.;
2022-11-21;DIA AL PUNTO gyozas de langostino al teppanyaki bandeja 8 uds 140 gr;274616;DIA AL PUNTO;3.29;['Platos preparados', 'Croquetas y aperitivos'];23.5;€/Kg.;
2022-11-21;DIA AL PUNTO arroz tres delicias bolsa 850 gr;267141;DIA AL PUNTO;2.59;['Congelados', 'Precocinados'];3.05;€/Kg.;
2022-11-21;SANEX desodorante dermo extra control roll on 50 ml;113509;SANEX;2.25;['Cuidado personal', 'Baño e higiene personal', 'Desodorantes'];45.0;€/l.;
2022-11-21;CARBONELL aceite de oliva intenso 1º botella 1 lt;188385;CARBONELL;6.05;['Despensa', 'Aceites. vinagres y aliños', 'Aceites'];6.05;€/l.;
2022-11-21;BONTE champú anticaspa 2 en 1 todo tipo de cabellos bote 500 ml;217210;BONTE;2.09;['Cuidado personal', 'Baño e higiene personal', 'Champús'];4.18;€/l.;
2022-11-21;DULCESOL bombón zebra relleno de cacao paquete 3 uds 135 gr;271505;DULCESOL;1.0;['Despensa', 'Desayunos y dulces', 'Bollería'];8.33;€/Kg.;
2022-11-21;DULCESOL magdalena valenciana bolsa 350 gr;181257;DULCESOL;1.89;['Despensa', 'Desayunos y dulces', 'Bollería'];5.4;€/Kg.;
2022-11-21;DIA ALMAZARA DEL OLIVAR aceite de oliva intenso botella 1 lt;105;DIA ALMAZARA DEL OLIVAR;4.99;['Despensa', 'Aceites. vinagres y aliños', 'Aceites'];4.99;€/l.;
2022-11-21;DIA VEGECAMPO pisto con aceite de oliva frasco 350 gr;111055;DIA VEGECAMPO;1.19;['Despensa', 'Salsas', 'Tomate'];3.4;€/Kg.;
2022-11-21;EL VENTERO queso tierno ya cortado cuña 200 gr;279734;EL VENTERO;3.29;['Frescos', 'Charcutería y quesos', 'Quesos'];16.45;€/Kg.;
2022-11-21;SELECCIÓN DE DIA preparado de carne picada de cerdo y vacuno bandeja 500 gr;261241;SELECCIÓN DE DIA;3.79;['Frescos', 'Carne', 'Mixto'];7.58;€/Kg.;
2022-11-21;FONTANEDA galletas digestive finas con chocolate negro caja 170 gr;258933;FONTANEDA;2.09;['Despensa', 'Desayunos y dulces', 'Galletas'];12.29;€/Kg.;
2022-11-21;VILEDA bayeta microfibra multiusos paquete 2 uds;149267;VILEDA;4.09;['Cuidado del hogar', 'Utensilios de limpieza'];2.05;€/ud.;
2022-11-21;CALVO mejillones en escabeche 8/12 piezas lata 69 gr;30706;CALVO;3.59;['Despensa', 'Conservas', 'Conservas de pescado'];52.03;€/Kg.;
2022-11-21;TRAPA bombones white caja 105 gr;282395;TRAPA;2.05;['Despensa', 'Desayunos y dulces', 'Chocolates y bombones'];19.52;€/Kg.;
2022-11-21;GLISS mascarilla nutritiva protein 4 en 1 cabello seco tarro 400 ml;264390;GLISS;5.39;['Cuidado personal', 'Baño e higiene personal', 'Cuidado del cabello'];13.48;€/l.;
2022-11-21;TOSFRIT apetinas ketchup bolsa 90GRS;120825;TOSFRIT;1.19;['Despensa', 'Aperitivos'];13.22;€/Kg.;
2022-11-21;DANI berberechos al natural 35/45 piezas lata 63 gr;280358;DANI;5.69;['Despensa', 'Conservas', 'Conservas de pescado'];90.32;€/Kg.;
2022-11-21;DIA AL PUNTO albóndigas lata 415 gr;6630;DIA AL PUNTO;1.75;['Despensa', 'Conservas', 'Conservas de carne'];4.17;€/Kg.;
2022-11-21;LOYEV berenjena con carne gratinada bandeja 300 gr;280403;LOYEV;2.85;['Platos preparados', 'Verduras'];9.5;€/Kg.;
2022-11-21;BONTE acondicionador familiar botella 1 lt;175089;BONTE;1.09;['Cuidado personal', 'Baño e higiene personal', 'Cuidado del cabello'];1.09;€/l.;
2022-11-21;DON SIMON néctar de mango premium botella 1 lt;289863;DON SIMON;1.69;['Bebidas', 'Zumos'];1.69;€/l.;
2022-11-21;GALLINA BLANCA sopa de pollo con fideos sobre 71 gr;530;GALLINA BLANCA;0.75;['Despensa', 'Sopas', 'Sopas'];10.56;€/Kg.;
2022-11-21;VERLEAL ajo picado bolsa 125 gr;291078;VERLEAL;1.49;['Congelados', 'Verduras y hortalizas'];11.92;€/Kg.;
2022-11-21;LACASITOS chocolate blanco con lacasitos tableta 100 gr;205513;LACASITOS;1.45;['Despensa', 'Desayunos y dulces', 'Chocolates y bombones'];14.5;€/Kg.;
2022-11-21;GARNIER Skin active mascarilla facial hydra bomb sachet 1 ud;227416;GARNIER;2.99;['Cuidado personal', 'Cuidado corporal', 'Crema facial'];2.99;€/ud.;
2022-11-21;DIA VEGECAMPO cardo frasco 400 gr;57466;DIA VEGECAMPO;1.35;['Despensa', 'Conservas', 'Conservas vegetales'];3.38;€/Kg.;
2022-11-21;DIA SNACK MANIAC cacahuete con cáscara sin sal bolsa 400 gr;119604;DIA SNACK MANIAC;1.65;['Despensa', 'Aperitivos'];4.13;€/Kg.;
2022-11-21;DIA UPSS refresco de naranja lata 33 cl;43867;DIA UPSS;0.39;['Bebidas', 'Refrescos'];1.18;€/l.;
2022-11-21;FELIX alimento para gatos fantastic sabor carne bolsa 4 pack x 85 gr;283042;FELIX;2.49;['Mascotas', 'Gatos'];7.32;€/Kg.;
2022-11-21;DIA IMAQE Naturals agua micelar bote 200 ml;272028;DIA IMAQE;3.55;['Cuidado personal', 'Cuidado corporal', 'Limpieza facial'];17.75;€/l.;
2022-11-21;BARCELO ron añejo botella 70 cl;103004;BARCELO;14.39;['Bodega', 'Alcoholes', 'Ron'];20.56;€/l.;
2022-11-21;MILKA chocolate con leche y avellanas tableta 100 gr;188647;MILKA;1.2;['Despensa', 'Desayunos y dulces', 'Chocolates y bombones'];12.0;€/Kg.;
2022-11-21;COLON detergente máquina en polvo maleta 50 lavados;280409;COLON;10.99;['Cuidado del hogar', 'Cuidado de la ropa'];0.22;€/Lavado;
2022-11-21;EL PAVO caldo natural de pollo de corral botella 1 lt;279309;EL PAVO;3.19;['Despensa', 'Sopas', 'Caldos'];3.19;€/l.;
2022-11-21;GILLETTE maquinilla de afeitar fusion proglide blíster 1 ud;284423;GILLETTE;14.99;['Cuidado personal', 'Afeitado'];14.99;€/ud.;
2022-11-21;FINI golosinas jelly cola bolsa 100 gr;194711;FINI;1.05;['Despensa', 'Desayunos y dulces', 'Caramelos. chicles y golosinas'];10.5;€/Kg.;
2022-11-21;NESTLE chocolate con leche extrafino tableta 125 gr;216;NESTLE;1.19;['Despensa', 'Desayunos y dulces', 'Chocolates y bombones'];9.52;€/Kg.;
2022-11-21;CHINCHÓN licor de anís dulce botella 1 lt;275359;CHINCHÓN;10.55;['Bodega', 'Licores', 'Anís'];10.55;€/l.;
